,fname,text
10,ccnet.ntu.edu.tw_voip?page=TelApply,網址（url）：https://ccnet.ntu.edu.tw/voip?page=TelApply  content_paste電話業務 國立臺灣大學一般電話業務申請流程 主辦單位 工作內容 一般申請流程 附註 日期統計 急件可選擇公文自送 申請單位 至計中網頁下載申請表格 填寫後由使用單位主管用印 依據使用單位行政流程而定  計資中心 收到申請表格於1個工作天內製作書函 約1個工作日 為確保能聯繫申請人，請申請人務必留下手機號碼及辦公室電話號碼，以免延誤裝機時程 最少1∼2個工作日 約1個工作日  呈主任用印決行 用印後送至文書組 約1個工作日 文書組 送交文書組用校印並製作正式書函 約2∼3個工作日 若當天全校發文量過多，會延後一日  若週一上午送達文書組，約週二下午或週三上午送送到郵局 若週一下午送達文書組，約週三上午或週三下午送到郵局 		最少2個工作日 		最多4個工作日 	 約1個工作日 郵局 收到書函，分送至中華電信 約2∼3個工作日 限時掛號若週一上午寄出，週二下午會收到，約2日 一般掛號則需要3日 		最少2個工作日 		最多4個工作日 	 中華電信 收到書函後由承辦人安排派工 約1∼2個工作日 若使用單位人員不在要求裝機的辦公室（例如請假、出差、或教授外出上課中），則會隔日再約裝機時間 		最少4個工作日 		最多6個工作日 	  技術員至使用單位安裝線路、裝機設定，並確認通話功能正常 約3∼4個工作日 總計一般申請流程需要的工作日最少為9日，每週的工作日為5日，故一般申請流程約需2週可完成裝機  新申裝電話 電話功能調整 帳單及通話明細等業務 移機及過戶等異動 話機功能與操作 障礙報修   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
11,ccnet.ntu.edu.tw_voip?page=phone_adjust,網址（url）：https://ccnet.ntu.edu.tw/voip?page=phone_adjust  content_paste電話業務 移機及過戶等異動 申請移機/過戶 移機及過戶等異動請填寫： 自費電話申請表（Word檔，ODF檔） 中華電信市話申請表（Word檔，PDF檔）(一批只需填寫1張，異動前、後皆須填寫，地址填“詳如清冊”) 電話裝機清冊（Excel檔，ODF檔） ※ 注意：所有申請表皆須經系所單位主管核章 ＊一般申請流程需要的工作時間約8~10個工作天，請提早送出申請案以免久候  新申裝電話 電話功能調整 帳單及通話明細等業務 移機及過戶等異動 話機功能與操作 業務窗口及障礙報修   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
12,ccnet.ntu.edu.tw_voip?page=phone_func,網址（url）：https://ccnet.ntu.edu.tw/voip?page=phone_func  content_paste電話業務 電話功能調整 電話功能調整項目 調整限撥等級：電話外撥權限分為四個等級（1）國際（2）長途手機（3）市話（含長途），以及（4）校內 開放轉接手機：開放3366電話無人接聽或直接轉接至手機的權限 申請方式 請填寫「電話功能申請表」（Word格式，ODF格式） 經系所單位主管核章後送計資中心承辦人，計資中心收件並處理後，將以電子郵件方式回覆申請人 ※ 注意：所有申請表皆須經系所單位主管核章  新申裝電話 電話功能調整 帳單及通話明細等業務 移機及過戶等異動 話機功能與操作 業務窗口及障礙報修   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
13,ccnet.ntu.edu.tw_voip?page=voip_phone#3,"網址（url）：https://ccnet.ntu.edu.tw/voip?page=voip_phone#3 臺灣大學 網路電信服務 NTU VoIP  phoneVoIP 網路電話 網路電話號碼申請 新一代VoIP行動化服務 -- 2020年推出 臺大行動化VoIP服務實測：隨著行動化時代來臨，人人擁有上網智慧型手機或平板裝置，計中正在規劃校園語音服第二代--行動化網路語音服務，歡迎教職員參加實測計畫，詳情請參見相關說明 申請資格 擁有個人專屬3366號碼或校內五碼分機者，請填寫此申請表 不具備個人專用3366號碼者（例如，單位小總機內線），請由此申請 號碼發放原則 系統每日與人事資料庫核對，離職或畢業隔日便收回網路電話使用權 			公務通訊錄上登記3366號碼者，將取得與3366後5碼相同的網路電話號碼（6xxxx） 			教職員可選號（2xxxx、5xxxx、8xxxx） 			學生由系統自動派號（3xxxx、4xxxx、7xxxx） 			回收號碼將保留2個月之後才會重新發放 			  申請網路電話開放外撥權限 網路電話預設只能撥打校內電話，如需撥打外線電話（會衍生通話費），教職員請填寫申請表（Word格式，ODF格式）  網路電話使用方式 行動裝置 VoIP App VoIP App參考:（請至iOS/Android App Store下載） Sessiontalk SIP Softphone：設定說明請參考 Zoiper：設定說明請參考 Linphone：設定說明請參考 				【請注意：由於SIP VoIP App為第三方開發軟體，隨時可能變更服務條款，請自行決定是否下載使用】 Desktop軟體電話 VoIP Softphone 參考: Zoiper Desktop：請至官方網站根據作業系統下載對應軟體版本（Windows、MacOS、Linux），設定說明請參考 			【請注意：由於VoIP Softphone為第三方開發軟體，隨時可能變更服務條款，請自行決定是否下載使用】 網路話機 請自行採購支援SIP協定的IP網路話機  TANet 網路語音交換平台 臺灣學術網路「TANet網路語音交換平台」-- 提供各大專院校及區縣市網中心自建的網路語音系統，透過此平台達到語音互通的效果，進而讓學術網路各單位能夠在電話話務上達到節費效益。 TANet網路語音交換平台採取前置碼路由方式，也就是各區縣市網中心各配予一個3碼的前置碼，以作為語音交換平台判斷語音流量導向的依據。 				以臺灣大學為例，本校被分配到「926」，因此未來在TANet網路語音交換平台上，本校的網路電話使用者即可以""926xxxxx""（後5碼為本校校內之網路電話號碼）與其它參與TANet網路語音交換平台的單位互通。例如，教育部的VoIP號碼為900xxxxx，本校使用者登入臺大計中網路電話系統後，便可直撥教育部的網路電話900xxxxx，以完全免費的方式和校外單位通話；而其它學術單位也可以透過TANet網路語音交換平台直撥926xxxxx給臺大的網路電話系統。 				更多詳細資訊，請參考TANet網路語音交換平台  網路電話號碼申請 申請網路電話開放外撥權限 網路電話使用方式 TANet 網路語音交換平台   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   "
14,ccnet.ntu.edu.tw_voip?page=voip_phone#2,"網址（url）：https://ccnet.ntu.edu.tw/voip?page=voip_phone#2 臺灣大學 網路電信服務 NTU VoIP  phoneVoIP 網路電話 網路電話號碼申請 新一代VoIP行動化服務 -- 2020年推出 臺大行動化VoIP服務實測：隨著行動化時代來臨，人人擁有上網智慧型手機或平板裝置，計中正在規劃校園語音服第二代--行動化網路語音服務，歡迎教職員參加實測計畫，詳情請參見相關說明 申請資格 擁有個人專屬3366號碼或校內五碼分機者，請填寫此申請表 不具備個人專用3366號碼者（例如，單位小總機內線），請由此申請 號碼發放原則 系統每日與人事資料庫核對，離職或畢業隔日便收回網路電話使用權 			公務通訊錄上登記3366號碼者，將取得與3366後5碼相同的網路電話號碼（6xxxx） 			教職員可選號（2xxxx、5xxxx、8xxxx） 			學生由系統自動派號（3xxxx、4xxxx、7xxxx） 			回收號碼將保留2個月之後才會重新發放 			  申請網路電話開放外撥權限 網路電話預設只能撥打校內電話，如需撥打外線電話（會衍生通話費），教職員請填寫申請表（Word格式，ODF格式）  網路電話使用方式 行動裝置 VoIP App VoIP App參考:（請至iOS/Android App Store下載） Sessiontalk SIP Softphone：設定說明請參考 Zoiper：設定說明請參考 Linphone：設定說明請參考 				【請注意：由於SIP VoIP App為第三方開發軟體，隨時可能變更服務條款，請自行決定是否下載使用】 Desktop軟體電話 VoIP Softphone 參考: Zoiper Desktop：請至官方網站根據作業系統下載對應軟體版本（Windows、MacOS、Linux），設定說明請參考 			【請注意：由於VoIP Softphone為第三方開發軟體，隨時可能變更服務條款，請自行決定是否下載使用】 網路話機 請自行採購支援SIP協定的IP網路話機  TANet 網路語音交換平台 臺灣學術網路「TANet網路語音交換平台」-- 提供各大專院校及區縣市網中心自建的網路語音系統，透過此平台達到語音互通的效果，進而讓學術網路各單位能夠在電話話務上達到節費效益。 TANet網路語音交換平台採取前置碼路由方式，也就是各區縣市網中心各配予一個3碼的前置碼，以作為語音交換平台判斷語音流量導向的依據。 				以臺灣大學為例，本校被分配到「926」，因此未來在TANet網路語音交換平台上，本校的網路電話使用者即可以""926xxxxx""（後5碼為本校校內之網路電話號碼）與其它參與TANet網路語音交換平台的單位互通。例如，教育部的VoIP號碼為900xxxxx，本校使用者登入臺大計中網路電話系統後，便可直撥教育部的網路電話900xxxxx，以完全免費的方式和校外單位通話；而其它學術單位也可以透過TANet網路語音交換平台直撥926xxxxx給臺大的網路電話系統。 				更多詳細資訊，請參考TANet網路語音交換平台  網路電話號碼申請 申請網路電話開放外撥權限 網路電話使用方式 TANet 網路語音交換平台   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   "
15,ccnet.ntu.edu.tw_voip?page=voip_apply,網址（url）：https://ccnet.ntu.edu.tw/voip?page=voip_apply  phoneVoIP 網路電話 網路電話號碼申請（🡺 按此申請） 新一代VoIP行動化服務 隨著行動化時代來臨，人人擁有上網智慧型手機或平板裝置，計中已於2020年推出校園語音服第二代--行動化網路語音服務 		  歡迎教職員生申請網路電話號碼，加入校園語音服第二代--行動化網路語音服務 使用方式 透過手機App接聽及撥打網路電話，網路電話之間可傳送即時訊息 			在個人電腦安裝網路電話軟體（提供Windows及MacOS版） 			安裝網路話機取代傳統話機 			 申請資格及申請方式 開放在校教師、職員及學生申請 			擁有個人專屬3366號碼或校內五碼分機者，可申請同號網路電話號碼 			不具備個人專用3366號碼者（例如，單位小總機內線），請進入系統「自選號碼」 			 號碼發放原則 系統每日與人事資料庫核對，離職或畢業隔日便收回網路電話使用權 			公務通訊錄上登記3366號碼者，將取得與3366後5碼相同的網路電話號碼（6xxxx） 			六個月未登入網路電話系統者，將自動回收號碼 			  網路電話號碼申請 申請網路電話開放外撥權限 網路電話使用方式 TANet 網路語音交換平台   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
16,ccnet.ntu.edu.tw_voip?page=phone_func_adjust,網址（url）：https://ccnet.ntu.edu.tw/voip?page=phone_func_adjust  content_paste電話業務 電話功能調整 電話功能調整項目 調整限撥等級：電話外撥權限分為四個等級（1）國際（2）長途手機（3）市話（含長途），以及（4）校內 開放轉接手機：開放3366電話無人接聽或直接轉接至手機的權限 申請方式 請填寫「電話功能申請表」（Word格式，ODF格式） 經系所單位主管核章後送計資中心承辦人，計資中心收件並處理後，將以電子郵件方式回覆申請人 ※ 注意：所有申請表皆須經系所單位主管核章  帳單及通話明細等業務 申請通話明細 中華電信帳務相關業務申請書（Excel檔，ODF格式）（請填黃底處，檔名請加註單位名稱，並將電子檔寄至ccn98@ntu.edu.tw） ※ 注意：所有申請表皆須經系所單位主管核 補送帳單（電子檔） 提供需補寄帳單之電話號碼及單位名稱，寄至ccn98@ntu.edu.tw申請 ※ 其他中華電信事項可洽中華電信客服，以臺大證號「309200000Q」查詢   移機及過戶等異動 申請移機/過戶 移機及過戶等異動請填寫： 自費電話申請表（Word檔，ODF檔） 中華電信市話申請表（PDF檔）(一批只需填寫1張，異動前、後皆須填寫，地址填“詳如清冊”) 電話裝機清冊（Excel檔，ODF檔） ※ 注意：所有申請表皆須經系所單位主管核   新申裝電話 電話功能調整與帳務相關 話機功能與操作 業務窗口及障礙報修   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
17,ccnet.ntu.edu.tw_voip?page=voip_phone#1,"網址（url）：https://ccnet.ntu.edu.tw/voip?page=voip_phone#1 臺灣大學 網路電信服務 NTU VoIP  phoneVoIP 網路電話 網路電話號碼申請 新一代VoIP行動化服務 -- 2020年推出 臺大行動化VoIP服務實測：隨著行動化時代來臨，人人擁有上網智慧型手機或平板裝置，計中正在規劃校園語音服第二代--行動化網路語音服務，歡迎教職員參加實測計畫，詳情請參見相關說明 申請資格 擁有個人專屬3366號碼或校內五碼分機者，請填寫此申請表 不具備個人專用3366號碼者（例如，單位小總機內線），請由此申請 號碼發放原則 系統每日與人事資料庫核對，離職或畢業隔日便收回網路電話使用權 			公務通訊錄上登記3366號碼者，將取得與3366後5碼相同的網路電話號碼（6xxxx） 			教職員可選號（2xxxx、5xxxx、8xxxx） 			學生由系統自動派號（3xxxx、4xxxx、7xxxx） 			回收號碼將保留2個月之後才會重新發放 			  申請網路電話開放外撥權限 網路電話預設只能撥打校內電話，如需撥打外線電話（會衍生通話費），教職員請填寫申請表（Word格式，ODF格式）  網路電話使用方式 行動裝置 VoIP App VoIP App參考:（請至iOS/Android App Store下載） Sessiontalk SIP Softphone：設定說明請參考 Zoiper：設定說明請參考 Linphone：設定說明請參考 				【請注意：由於SIP VoIP App為第三方開發軟體，隨時可能變更服務條款，請自行決定是否下載使用】 Desktop軟體電話 VoIP Softphone 參考: Zoiper Desktop：請至官方網站根據作業系統下載對應軟體版本（Windows、MacOS、Linux），設定說明請參考 			【請注意：由於VoIP Softphone為第三方開發軟體，隨時可能變更服務條款，請自行決定是否下載使用】 網路話機 請自行採購支援SIP協定的IP網路話機  TANet 網路語音交換平台 臺灣學術網路「TANet網路語音交換平台」-- 提供各大專院校及區縣市網中心自建的網路語音系統，透過此平台達到語音互通的效果，進而讓學術網路各單位能夠在電話話務上達到節費效益。 TANet網路語音交換平台採取前置碼路由方式，也就是各區縣市網中心各配予一個3碼的前置碼，以作為語音交換平台判斷語音流量導向的依據。 				以臺灣大學為例，本校被分配到「926」，因此未來在TANet網路語音交換平台上，本校的網路電話使用者即可以""926xxxxx""（後5碼為本校校內之網路電話號碼）與其它參與TANet網路語音交換平台的單位互通。例如，教育部的VoIP號碼為900xxxxx，本校使用者登入臺大計中網路電話系統後，便可直撥教育部的網路電話900xxxxx，以完全免費的方式和校外單位通話；而其它學術單位也可以透過TANet網路語音交換平台直撥926xxxxx給臺大的網路電話系統。 				更多詳細資訊，請參考TANet網路語音交換平台  網路電話號碼申請 申請網路電話開放外撥權限 網路電話使用方式 TANet 網路語音交換平台   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   "
18,ccnet.ntu.edu.tw_voip?page=phone_help,網址（url）：https://ccnet.ntu.edu.tw/voip?page=phone_help  content_paste電話業務 業務窗口及障礙報修 業務窗口 電話業務聯絡人:張芷寧，連絡電話:33665050，電子郵件:ccn98@ntu.edu.tw 網路電話業務聯絡人:邵喻美，連絡電話:33665006，電子郵件:madeline@ntu.edu.tw 校內外報修電話 3366直撥電話：請直撥校內障礙報修專線 64444 ，或中華電信報修電話 123 申告障礙 校內5碼分機：請直撥校內障礙報修專線 64444 申告障礙   新申裝電話 電話功能調整與帳務相關 話機功能與操作 業務窗口及障礙報修   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
19,ccnet.ntu.edu.tw_voip?page=voip_phone#4,"網址（url）：https://ccnet.ntu.edu.tw/voip?page=voip_phone#4 臺灣大學 網路電信服務 NTU VoIP  phoneVoIP 網路電話 網路電話號碼申請 新一代VoIP行動化服務 -- 2020年推出 臺大行動化VoIP服務實測：隨著行動化時代來臨，人人擁有上網智慧型手機或平板裝置，計中正在規劃校園語音服第二代--行動化網路語音服務，歡迎教職員參加實測計畫，詳情請參見相關說明 申請資格 擁有個人專屬3366號碼或校內五碼分機者，請填寫此申請表 不具備個人專用3366號碼者（例如，單位小總機內線），請由此申請 號碼發放原則 系統每日與人事資料庫核對，離職或畢業隔日便收回網路電話使用權 			公務通訊錄上登記3366號碼者，將取得與3366後5碼相同的網路電話號碼（6xxxx） 			教職員可選號（2xxxx、5xxxx、8xxxx） 			學生由系統自動派號（3xxxx、4xxxx、7xxxx） 			回收號碼將保留2個月之後才會重新發放 			  申請網路電話開放外撥權限 網路電話預設只能撥打校內電話，如需撥打外線電話（會衍生通話費），教職員請填寫申請表（Word格式，ODF格式）  網路電話使用方式 行動裝置 VoIP App VoIP App參考:（請至iOS/Android App Store下載） Sessiontalk SIP Softphone：設定說明請參考 Zoiper：設定說明請參考 Linphone：設定說明請參考 				【請注意：由於SIP VoIP App為第三方開發軟體，隨時可能變更服務條款，請自行決定是否下載使用】 Desktop軟體電話 VoIP Softphone 參考: Zoiper Desktop：請至官方網站根據作業系統下載對應軟體版本（Windows、MacOS、Linux），設定說明請參考 			【請注意：由於VoIP Softphone為第三方開發軟體，隨時可能變更服務條款，請自行決定是否下載使用】 網路話機 請自行採購支援SIP協定的IP網路話機  TANet 網路語音交換平台 臺灣學術網路「TANet網路語音交換平台」-- 提供各大專院校及區縣市網中心自建的網路語音系統，透過此平台達到語音互通的效果，進而讓學術網路各單位能夠在電話話務上達到節費效益。 TANet網路語音交換平台採取前置碼路由方式，也就是各區縣市網中心各配予一個3碼的前置碼，以作為語音交換平台判斷語音流量導向的依據。 				以臺灣大學為例，本校被分配到「926」，因此未來在TANet網路語音交換平台上，本校的網路電話使用者即可以""926xxxxx""（後5碼為本校校內之網路電話號碼）與其它參與TANet網路語音交換平台的單位互通。例如，教育部的VoIP號碼為900xxxxx，本校使用者登入臺大計中網路電話系統後，便可直撥教育部的網路電話900xxxxx，以完全免費的方式和校外單位通話；而其它學術單位也可以透過TANet網路語音交換平台直撥926xxxxx給臺大的網路電話系統。 				更多詳細資訊，請參考TANet網路語音交換平台  網路電話號碼申請 申請網路電話開放外撥權限 網路電話使用方式 TANet 網路語音交換平台   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   "
